コード	種別	メッセージ本文
入力画面エラー用		
E0000001	ERROR	処理に失敗しました
E0000002	ERROR	入力値エラー。入力内容を確認してください。
E0000003	ERROR	必須入力です
E0000004	ERROR	半角の数値形式のみで入力してください
E0000005	ERROR	<{$1}>は、許可された拡張子ではありません
E0000006	ERROR	<{$1}> (ファイルサイズ: {$2} MB)は、制限ファイルサイズ( {$3}MB)を超えています
E0000007	ERROR	次の文字は入力できません。 <{$1}>
E0000008	ERROR	メールアドレス形式で入力して下さい
E0000009	ERROR	郵便番号形式で入力して下さい
E0000010	ERROR	電話番号形式（ハイフン有り）で入力して下さい
E0000011	ERROR	{$1}文字以上で入力してください
E0000012	ERROR	{$1}文字以下で入力してください
E0000013	ERROR	{$1}以上の数値を入力してください
E0000014	ERROR	{$1}以下の数値を入力してください
E0000015	ERROR	有効な日付を入力してください
E0000016	ERROR	過去日付は指定出来ません
E0000017	ERROR	{$1}から {$2}までの範囲で指定してください
E0000018	ERROR	{$1}以降の時刻を指定してください
E0000019	ERROR	選択した操作は許可されていません。権限設定を確認してください。
E0000020	ERROR	現在のステータスでは選択した操作はできません。
E0000021	ERROR	変更箇所を確認してください。{$1}
E0000022	ERROR	列数が既定と異なっています。フォーマットを確認してください。
E0000023	ERROR	対象が選択されていません
E0000024	ERROR	未保存伝票のファイルは出力できません。一時保存または確定後に再度操作を行ってください。
E0000025	ERROR	紐付け先の情報と一致していません
E0000026	ERROR	紐付けが重複しています
E0000027	ERROR	ファイルが選択されていません
E0000028	ERROR	採用か不採用のどちらかのみをオンにしてください。
E0000029	ERROR	データ出力後に別ユーザで更新処理が行われています。除外もしくは再出力して再処理を行ってください。
E0000030	ERROR	別ユーザで更新処理が行われています。画面を更新した後に再度処理を行ってください。
E0000031	ERROR	依頼内容に変更があります。見積入力画面の依頼内容変更確認ダイアログで変更箇所を確認してください。
E0000032	ERROR	依頼先を登録してください
E0000033	ERROR	取引先依頼が承認されていません
E0000034	ERROR	取引窓口として設定されていない管理場所です
E0000035	ERROR	ステータスが対象外もしくは未承認の選考明細がありません。
E0000036	ERROR	図面マスタが未登録です。図面情報を正しく選択してください。
E0000037	ERROR	検査エラー。出力ファイルを確認してください。
E0000038	ERROR	図面ファイルは削除できません。変更する場合は明細エリアで図番情報を変更してください。
E0000039	ERROR	確認用パスワードが一致しません
E0000040	ERROR	現在のパスワードが正しくありません
E0000041	ERROR	同一取引先に対して見積依頼先は複数選択できません
E0000042	ERROR	公開済みの見積依頼先は削除できません
E0000043	ERROR	出力対象外のステータスが含まれています
E0000044	ERROR	セキュリティポリシーに準じたパスワードを設定してください({$1})
E0000045	ERROR	メールアドレスまたはパスワードが正しくありません
E0000046	ERROR	ログインできませんでした
E0000047	ERROR	処理に失敗しました。入力したメールアドレスを確認してください。
E0000048	ERROR	リセットできませんでした
E0000049	ERROR	変更箇所を確認してください。依頼明細（明細番号:{$1}）が追加されました。
E0000050	ERROR	変更箇所を確認してください。依頼明細（明細番号:{$1}）が削除されました。
E0000051	ERROR	変更箇所を確認してください。依頼明細（明細番号:{$1}）が変更されました。{$2}
E0000052	ERROR	変更箇所を確認してください。添付ファイル（ファイル名:{$1}）が追加されました。
E0000053	ERROR	変更箇所を確認してください。添付ファイル（ファイル名:{$1}）が削除されました。
E0000054	ERROR	変更箇所を確認してください。添付ファイル（ファイル名:{$1}）が変更されました。{$2}
E0000055	ERROR	選考結果を変更できない明細が含まれています。ステータスを確認してください。
E0000056	ERROR	選考結果と付加情報が不一致です。付加情報を再度登録してください。
E0000057	ERROR	特権管理グループに対してユーザー追加/除外の権限がありません。
E0000058	ERROR	自身の操作で自ユーザーを特権管理グループから除外できません。
E0000059	ERROR	特権管理グループに所属するユーザーを削除する権限がありません。
E0000060	ERROR	自身の操作で自ユーザーを削除できません。
E0000061	ERROR	自身の操作で自ユーザーを停止できません。
E0000062	ERROR	編集中の明細があります。確定してください。
E0000063	ERROR	削除できません。同一種類の明細（種別とシステムコードの組み合わせ）が少なくとも１つ必要です。
E0000064	ERROR	編集不可の明細です。
E0000065	ERROR	種別とユーザコードの組み合わせで重複する明細が登録済みです。
E0000066	ERROR	更新対象外の種別またはシステムコードです。
E0000067	ERROR	種別名、システム名は変更できません。同一種別、システムコードの他明細と合わせてください。
E0000068	ERROR	ユーザ名、並び順以外は変更できません。
E0000069	ERROR	重複したテナントコードは指定できません。
E0000070	ERROR	深刻なエラーが発生しました。
E0000071	ERROR	更新対象がありません。
E0000072	ERROR	重複したコードは指定できません。
E0000073	ERROR	複数選択できません。
E0000074	ERROR	一時保存中や却下された依頼は取引先粒度での変更/削除できません。依頼登録画面にて編集してください。
E0000075	ERROR	変更依頼が存在しません。
E0000076	ERROR	変更依頼が存在するため変更できません。(依頼)回答期日変更画面から変更してください。
E0000077	ERROR	ファイル数上限エラー。登録できるファイル数は{$1}です。
E0000078	ERROR	取引先照合エラーが存在します。取引先リストを確認してください。
E0000079	ERROR	回答区分を選択してください。
E0000080	ERROR	変更依頼中のため依頼できません。
E0000081	ERROR	アップロードエラー。エラー対象ファイルを削除して再度処理を行ってください。
E0000082	ERROR	既に登録済みのメールアドレスです。
E0000083	ERROR	重複したグループは指定できません。
E0000084	ERROR	取引先を登録してください
E0000085	ERROR	取引先テナントが未作成です。({$1})
E0000086	ERROR	取引先担当者が登録されていません。マスタを確認してください。({$1})
E0000087	ERROR	ファイル内に取引先コードが空白のレコードが存在します。ファイルを確認してください。
E0000088	ERROR	ファイル内で取引先コードが重複しています。ファイルを確認してください。
E0000089	ERROR	自案件は紐付けできません。
E0000090	ERROR	削除できない案件です。（管理対象の案件ではありません）
E0000091	ERROR	処理が中断されました。選択対象を減らして再度出力処理を行ってください。
E0000092	ERROR	入力されたパスワードはパスワードポリシーの要件を満たしていません。
E0000093	ERROR	紐付け分類を選択してください。
E0000094	ERROR	ファイルを添付してください。
E0000095	ERROR	ファイル形式を登録してください。
E0000096	ERROR	ファイル種別を選択してください。
E0000097	ERROR	アカウントを１名以上追加してください。
E0000098	ERROR	連絡先情報で当該拠点が登録されています。変更後に削除してください。
E0000099	ERROR	加工サイズの種類を選択してください。
E0000100	ERROR	拠点の選択またはアカウントを1名以上追加してください。
E0000101	ERROR	拠点を選択してください。
E0000102	ERROR	別ユーザで更新処理が行われています。再度処理を行ってください。
E0000103	ERROR	アップロードエラー。再度処理を行ってください。
E0000104	ERROR	半角{$1}桁の英数字で入力してください。
E0000105	ERROR	終了年月が開始年月より前です。
E0000106	ERROR	フォーム内でIDが重複しています。
E0000107	ERROR	選択肢を登録してください。
E0000108	ERROR	ページ内の制限項目数を超えるため追加できません。（上限項目数50）
E0000109	ERROR	制限ページ数を超えるため追加できません。（上限ページ数8）
E0000110	ERROR	ファイル添付項目はフォーム内で10個以内で設定してください。
E0000111	ERROR	ページ<{$1}>に入力値エラーがあります。
E0000112	ERROR	登録済みの項目タイプと異なります。入力した項目IDは設定できません。
E0000113	ERROR	半角英数字で入力してください。
E0000114	ERROR	フォーム内の制限項目数を超えるため追加できません。（上限項目数200）
E0000115	ERROR	大小チェックエラー（最小値>最大値）
E0000116	ERROR	カンマは登録できません。
E0000117	ERROR	アカウントは１0名以内で設定してください。
E0000118	ERROR	<{$1}:{$2}>送信先の担当者名またはemailが未登録です。マスタを確認してください。
E0000119	ERROR	一時保存を実施してください。
E0000120	ERROR	フォームは{$1}個以内で設定してください。
E0000121	ERROR	未入力の依頼フォームに入力してください。
E0000122	ERROR	追加する調査依頼（新規もしくは既存調査）を選択してください。
E0000123	ERROR	紐付け上限エラー。登録できる調査依頼伝票は{$1}です。
E0000124	ERROR	回答済みのフォームがあるので回答代行できません。
E0000125	ERROR	入力必須の回答フォームは全て確定にしてください。
E0000126	ERROR	回答フォームの設定が削除されています。再度回答フォームを選択してください。
E0000127	ERROR	リクエストパラメータ：{$1}と{$2}は同時指定できません。
E0000128	ERROR	リクエストパラメータ：{$1}のいずれかの指定が必要です
		
取込処理エラーファイル出力用		
E1000001	ERROR	未入力
E1000002	ERROR	入力値が許可された形式外
E1000003	ERROR	マスタ未登録
E1000004	ERROR	同時更新エラー
E1000005	ERROR	ファイル内で重複
E1000006	ERROR	登録済
E1000007	ERROR	更新対象なし
E1000008	ERROR	ファイル異常。引用符、文字コード、区切文字等、データ形式に問題がある可能性があります。
E1000009	ERROR	更新対象外の種別またはシステムコード
E1000010	ERROR	取込ファイルにデータがありません
E1000011	ERROR	更新対象なし。取引先会社IDと取引先コードの組み合わせが存在しません。
E1000012	ERROR	指定した取引先会社IDが未登録
E1000013	ERROR	ユーザが登録されていません。
E1000014	ERROR	テナント紐付け済のため削除不可
E1000015	ERROR	小数桁数エラー。（{$1}桁以内）
E1000016	ERROR	日付形式エラー。yyyy/mm/ddの形式で入力してください。
E1000017	ERROR	指定された選択肢の値を入力してください。
E1000018	ERROR	取込エラー。出力ファイルを確認してください。
		
		
		
		
		
W0000001	WARNING	警告あり。出力ファイルを確認してください。
W0000002	WARNING	指定された取引先コードが未登録です。
W0000003	WARNING	マスタ未登録。未入力として更新します。
W0000004	WARNING	マスタに同一コードが複数登録されています。未入力として更新します。
W0000005	WARNING	項目マスタ取得エラー。明細が作成されていません。(内部指示書番号:{$1})
W0000006	WARNING	拠点が登録されていません。設備登録を行う前に拠点登録を行なってください。
W0000007	WARNING	テナント紐付け済のため、企業名(正式名)と基本情報は更新対象外です。
		
		
I0000001	INFOMATION	正常に処理が完了しました
I0000002	INFOMATION	変更はありません
I0000003	INFOMATION	処理実行中
I0000004	INFOMATION	出力対象がありません。
I0000005	INFOMATION	"「{$1}」通知があります。
上の時計アイコン押下で詳細確認ができます。"
		
		
		
C0000001	CONFIRMATION	{$1}を実行します。よろしいですか？
C0000002	CONFIRMATION	同一見積依頼に対して採用が複数選択されています。よろしいですか？
C0000003	CONFIRMATION	"{$1}を実行します。よろしいですか？
※変更内容が夜間に取引先へ共有されます。"
C0000004	CONFIRMATION	"{$1}を実行します。よろしいですか？
※変更内容が取引先へ共有されます。"
		
参照先		
L0000001	LINK	※BCPのLookerStudioのレポートURLを指定します
		
履歴データ		
H0000001a	HISTORY	承認待ち
H0000001b	HISTORY	"承認担当者：{$1} {$2}
依頼担当者：{$3} {$4}
依頼コメント：{$5}"
H0000002a	HISTORY	承認却下
H0000002b	HISTORY	"却下担当者：{$1} {$2}
却下コメント：{$3}"
H0000003a	HISTORY	承認済み
H0000003b	HISTORY	"承認担当者：{$1} {$2}
承認コメント：{$3}"
H0000004a	HISTORY	依頼公開
H0000004b	HISTORY	
H0000005a	HISTORY	破棄
H0000005b	HISTORY	送信コメント：{$1}
H0000006a	HISTORY	回答催促
H0000006b	HISTORY	"宛先：{$1}
内容：{$2}
自動送信：{$3}"
H0000007a	HISTORY	回答期日変更依頼
H0000007b	HISTORY	"{$1}
回答期日（変更前）：{$2}
回答期日（変更後）：{$3}"
H0000008a	HISTORY	回答期日変更確定
H0000008b	HISTORY	"送信コメント：{$1}
回答期日（変更前）：{$2}
回答期日（変更後）：{$3}"
H0000009a	HISTORY	部分回答
H0000009b	HISTORY	{$1}
H0000010a	HISTORY	辞退
H0000010b	HISTORY	{$1}
H0000011a	HISTORY	回答完了
H0000011b	HISTORY	{$1}
H0000012a	HISTORY	確認完了
H0000012b	HISTORY	{$1}
H0000013a	HISTORY	修正依頼
H0000013b	HISTORY	送信コメント：{$1}
H0000014a	HISTORY	依頼終了
H0000014b	HISTORY	
H0000015a	HISTORY	開封済み
H0000015b	HISTORY	
H0000101a	HISTORY	依頼公開
H0000101b	HISTORY	
H0000102a	HISTORY	破棄
H0000102b	HISTORY	{$1}
H0000103a	HISTORY	回答催促
H0000103b	HISTORY	"{$1}
（催促{$2}回目）"
H0000104a	HISTORY	回答期日変更依頼
H0000104b	HISTORY	"送信コメント：{$1}
回答期日（変更前）：{$2}
回答期日（変更後）：{$3}"
H0000105a	HISTORY	回答期日変更確定
H0000105b	HISTORY	"{$1}
回答期日（変更前）：{$2}
回答期日（変更後）：{$3}"
H0000106a	HISTORY	部分回答
H0000106b	HISTORY	送信コメント：{$1}
H0000107a	HISTORY	辞退
H0000107b	HISTORY	送信コメント：{$1}
H0000108a	HISTORY	回答完了
H0000108b	HISTORY	送信コメント：{$1}
H0000109a	HISTORY	確認完了
H0000109b	HISTORY	送信コメント：{$1}
H0000110a	HISTORY	修正依頼
H0000110b	HISTORY	{$1}
H0000111a	HISTORY	依頼終了
H0000111b	HISTORY	
H0000112a	HISTORY	開封済み
H0000112b	HISTORY	
H2000001a	HISTORY	作業依頼
H2000001b	HISTORY	
H2000002a	HISTORY	管理担当者変更
H2000002b	HISTORY	コメント：{$1}
H2000003a	HISTORY	作業担当者変更
H2000003b	HISTORY	コメント：{$1}
H2000004a	HISTORY	案件完了期日変更
H2000004b	HISTORY	コメント：{$1}
H2000005a	HISTORY	作業完了期日変更
H2000005b	HISTORY	コメント：{$1}
H2000006a	HISTORY	作業完了予定日変更
H2000006b	HISTORY	コメント：{$1}
H2000007a	HISTORY	作業完了
H2000007b	HISTORY	
H2000008a	HISTORY	作業再開
H2000008b	HISTORY	コメント：{$1}
H2000009a	HISTORY	案件完了
H2000009b	HISTORY	
H2000010a	HISTORY	案件再開
H2000010b	HISTORY	
H3000001a	HISTORY	テナント招待
H3000001b	HISTORY	"送信先担当者名：{$1}
送信先担当者email：{$2}
個別メッセージ：{$3}
問い合わせ先：{$4}"
H3000002a	HISTORY	テナント作成
H3000002b	HISTORY	
H4000001a	HISTORY	通知/更新停止
H4000001b	HISTORY	{$1}
H4000002a	HISTORY	通知/更新再開
H4000002b	HISTORY	{$1}
H4000003a	HISTORY	連絡先登録依頼
H4000003b	HISTORY	"企業名：{$1}
連絡先名：{$2}
メッセージ：{$3}"
H4000004a	HISTORY	連絡先更新
H4000004b	HISTORY	"企業名：{$1}
連絡先名：{$2}
メッセージ：{$3}"
H4000005a	HISTORY	取引停止
H4000005b	HISTORY	
H4000006a	HISTORY	取引再開
H4000006b	HISTORY	
H4000007a	HISTORY	連絡先更新
H4000007b	HISTORY	"企業名：{$1}
連絡先名：{$2}
テナント作成、または拠点情報の変更に伴い自動送信されました。"
		
H4000101a	HISTORY	通知/更新停止
H4000101b	HISTORY	{$1}
H4000102a	HISTORY	通知/更新開始
H4000102b	HISTORY	{$1}
H4000103a	HISTORY	連絡先登録依頼
H4000103b	HISTORY	"企業名：{$1}
連絡先名：{$2}
メッセージ：{$3}"
H4000104a	HISTORY	連絡先更新
H4000104b	HISTORY	"企業名：{$1}
連絡先名：{$2}
メッセージ：{$3}"
		
		
プッシュ通知（メール）		
MS0001000	MAIL	サプライヤ
MS0002000	MAIL	指図案件
MS0003000	MAIL	見積依頼
MS0004000	MAIL	取引先管理
MS0005000	MAIL	自社情報管理
		
MA0001001	MAIL	新規依頼
MA0001002	MAIL	修正依頼
MA0001003	MAIL	回答期日変更
MA0001004	MAIL	回答期日変更依頼
MA0001005	MAIL	催促({$1}回目)
MA0001006	MAIL	承認依頼
MA0001007	MAIL	承認却下
MA0001008	MAIL	未開封
MA0002001	MAIL	新規依頼
MA0002002	MAIL	作業完了期日変更
MA0002003	MAIL	承認依頼
MA0002004	MAIL	承認却下
MA0004001	MAIL	更新未確認(基本情報)
MA0004002	MAIL	更新未確認(拠点)
MA0004003	MAIL	更新未確認(認証)
MA0004004	MAIL	更新未確認(連絡先)
MA0004005	MAIL	連絡先登録依頼
MA0004006	MAIL	通知/更新停止
MA0005001	MAIL	認証有効期限お知らせ
MA0005002	MAIL	認証有効期限切れ
MA0005003	MAIL	更新内容を確認ください
MA0005004	MAIL	{$1}(有効期限:{$2})
MA0005005	MAIL	アカウントエラー
MA0005006	MAIL	アカウントが停止または存在しません(連絡先名:{$1}、アカウント:{$2})
		
END		